id,raw_text,normalized_text,label,split
1,"Lên lịch họp ngày mai.","lên lịch họp ngày mai",calendar,train
2,"Tại sao cần sử dụng hệ điều hành?","tại sao cần sử dụng hệ điều hành",qa,train
3,"Mở danh bạ điện thoại!","mở danh bạ điện thoại",control_device,train
4,"Hủy tất cả báo thức!","hủy tất cả báo thức",control_device,train
5,"Cách luộc trứng lòng đào?","cách luộc trứng lòng đào",qa,train
6,"Tại sao nên học từ sai lầm?","tại sao nên học từ sai lầm",qa,train
7,"Tôi thích nghe nhạc Lo-Fi.","tôi thích nghe nhạc lofi",personalize,train
8,"Tôi không thích ăn đồ ngọt.","tôi không thích ăn đồ ngọt",personalize,train
9,"Mở Messenger!","mở messenger",control_device,train
10,"Thêm lịch xem YouTube.","thêm lịch xem youtube",calendar,train
11,"Bao nhiêu ngày trong một năm?","bao nhiêu ngày trong một năm",qa,train
12,"Vì sao việc tự học quan trọng?","vì sao việc tự học quan trọng",qa,train
13,"Cách quản lý thời gian hiệu quả?","cách quản lý thời gian hiệu quả",qa,train
14,"Làm sao để thịt không bị dai?","làm sao để thịt không bị dai",qa,train
15,"Ghi lại thói quen dùng tai nghe của tôi.","ghi lại thói quen dùng tai nghe của tôi",personalize,train
16,"Mở khóa màn hình!","mở khóa màn hình",control_device,train
17,"Tôi thích dùng điện thoại hơn laptop.","tôi thích dùng điện thoại hơn laptop",personalize,train
18,"Thêm lịch tập gym buổi chiều.","thêm lịch tập gym buổi chiều",calendar,train
19,"Xem lịch cá nhân.","xem lịch cá nhân",calendar,train
20,"Tắt camera!","tắt camera",control_device,train
21,"Tại sao cần lập kế hoạch mỗi ngày?","tại sao cần lập kế hoạch mỗi ngày",qa,train
22,"Tôi hay lập kế hoạch trước.","tôi hay lập kế hoạch trước",personalize,train
23,"Nhắc tôi uống thuốc lúc 8 giờ sáng.","nhắc tôi uống thuốc lúc 8 giờ sáng",calendar,train
24,"Mở ShopeeFood!","mở shopeefood",control_device,train
25,"Tại sao cần kỹ năng giao tiếp?","tại sao cần kỹ năng giao tiếp",qa,train
26,"Lịch học tiếng Anh tối nay thế nào?","lịch học tiếng anh tối nay thế nào",calendar,train
27,"Mở trình duyệt web!","mở trình duyệt web",control_device,train
28,"Làm sao cải thiện kỹ năng listening?","làm sao cải thiện kỹ năng listening",qa,train
29,"Sáng mai tôi có bận không?","sáng mai tôi có bận không",calendar,train
30,"Nhớ là tôi luôn bật wifi.","nhớ là tôi luôn bật wifi",personalize,train
31,"Nhắc tôi xem thông báo lúc 9 giờ.","nhắc tôi xem thông báo lúc 9 giờ",calendar,train
32,"Tôi muốn tránh đường đông.","tôi muốn tránh đường đông",personalize,train
33,"Bật dữ liệu di động!","bật dữ liệu di động",control_device,train
34,"Nhớ là tôi hay ngủ muộn.","nhớ là tôi hay ngủ muộn",personalize,train
35,"Đóng Excel lại!","đóng excel lại",control_device,train
36,"Tôi hay xem phim hành động.","tôi hay xem phim hành động",personalize,train
37,"Đặt báo thức lúc 7 giờ sáng!","đặt báo thức lúc 7 giờ sáng",control_device,train
38,"Cách viết CV xin việc?","cách viết cv xin việc",qa,train
39,"Mở camera!","mở camera",control_device,train
40,"Làm sáng màn hình hơn!","làm sáng màn hình hơn",control_device,train
41,"Địa chỉ nhà tôi là Bắc Ninh.","địa chỉ nhà tôi là bắc ninh",personalize,train
42,"Sáng mai tôi có rảnh không?","sáng mai tôi có rảnh không",calendar,train
43,"Khởi động Chrome giúp tôi!","khởi động chrome giúp tôi",control_device,train
44,"Nhớ là tôi tập trung tốt vào buổi tối.","nhớ là tôi tập trung tốt vào buổi tối",personalize,train
45,"Mở Zalo!","mở zalo",control_device,train
46,"Lịch tháng 4 của tôi ra sao?","lịch tháng 4 của tôi ra sao",calendar,train
47,"Sự khác nhau giữa hiệu quả và hiệu suất?","sự khác nhau giữa hiệu quả và hiệu suất",qa,train
48,"Mở file explorer!","mở file explorer",control_device,train
49,"Chạy cmd!","chạy cmd",control_device,train
50,"Làm sao để tăng tốc wifi?","làm sao để tăng tốc wifi",qa,train
51,"Tôi thích nghe nhạc khi học.","tôi thích nghe nhạc khi học",personalize,train
52,"Tại sao băng nổi trên mặt nước?","tại sao băng nổi trên mặt nước",qa,train
53,"Thêm lịch đá bóng lúc 5 giờ chiều thứ bảy.","thêm lịch đá bóng lúc 5 giờ chiều thứ bảy",calendar,train
54,"Thói quen buổi sáng tốt là gì?","thói quen buổi sáng tốt là gì",qa,train
55,"Khi nào hôm nay tôi rảnh?","khi nào hôm nay tôi rảnh",calendar,train
56,"Tôi có rảnh chiều nay không?","tôi có rảnh chiều nay không",calendar,train
57,"Mở Netflix!","mở netflix",control_device,train
58,"Đặt nhắc nhở học từ vựng mỗi sáng.","đặt nhắc nhở học từ vựng mỗi sáng",calendar,train
59,"Thêm lịch yoga vào buổi sáng.","thêm lịch yoga vào buổi sáng",calendar,train
60,"Hôm nay tôi có những việc gì?","hôm nay tôi có những việc gì",calendar,train
61,"Đóng tab hiện tại!","đóng tab hiện tại",control_device,train
62,"Tắt máy!","tắt máy",control_device,train
63,"Tạo lịch đọc báo lúc 7 giờ sáng.","tạo lịch đọc báo lúc 7 giờ sáng",calendar,train
64,"Lịch hôm nay của tôi.","lịch hôm nay của tôi",calendar,train
65,"Cách kiểm soát cảm xúc?","cách kiểm soát cảm xúc",qa,train
66,"Tại sao cơ thể cảm thấy mệt khi thiếu ngủ?","tại sao cơ thể cảm thấy mệt khi thiếu ngủ",qa,train
67,"Để phòng ở mức 25 độ là hợp với tôi.","để phòng ở mức 25 độ là hợp với tôi",personalize,train
68,"Đổi inch sang cm như thế nào?","đổi inch sang cm như thế nào",qa,train
69,"Tại sao cần version control như Git?","tại sao cần version control như git",qa,train
70,"Lưu thông tin này lại.","lưu thông tin này lại",personalize,train
71,"Đóng tất cả ứng dụng đang chạy!","đóng tất cả ứng dụng đang chạy",control_device,train
72,"Làm sao để ngủ ngon?","làm sao để ngủ ngon",qa,train
73,"Tôi thích ánh sáng nhẹ.","tôi thích ánh sáng nhẹ",personalize,train
74,"Tạo lịch đọc sách lúc 9 giờ tối.","tạo lịch đọc sách lúc 9 giờ tối",calendar,train
75,"Tại sao nên duy trì động lực?","tại sao nên duy trì động lực",qa,train
76,"Cách tăng năng suất làm việc?","cách tăng năng suất làm việc",qa,train
77,"Cho tôi xem lịch hôm nay.","cho tôi xem lịch hôm nay",calendar,train
78,"Bao nhiêu calo trong một quả táo?","bao nhiêu calo trong một quả táo",qa,train
79,"Sáng nay có cuộc họp không?","sáng nay có cuộc họp không",calendar,train
80,"Tại sao train model cần GPU?","tại sao train model cần gpu",qa,train
81,"Chạy ứng dụng Edge!","chạy ứng dụng edge",control_device,train
82,"Gần đây có rạp phim nào không?","gần đây có rạp phim nào không",qa,train
