id,raw_text,normalized_text,label,split,normalized_no_accent
393,Kỹ năng mềm là gì?,kỹ năng mềm là gì,qa,train,ky nang mem la gi
745,Cách dậy sớm hiệu quả?,cách dậy sớm hiệu quả,qa,validation,cach day som hieu qua
1231,Tại sao AI cần training data?,tại sao ai cần training data,qa,test,tai sao ai can training data
1142,Nhắc tôi ngủ sớm lúc 11h.,nhắc tôi ngủ sớm lúc h,calendar,test,nhac toi ngu som luc h
666,Thế nào là lối sống lành mạnh?,thế nào là lối sống lành mạnh,qa,train,the nao la loi song lanh manh
991,Ghi âm cuộc gọi này!,ghi âm cuộc gọi này,control_device,train,ghi am cuoc goi nay
1111,Fp16 là gì?,fp là gì,qa,train,fp la gi
603,Tại sao cần nghỉ ngơi?,tại sao cần nghỉ ngơi,qa,train,tai sao can nghi ngoi
511,Chiều nay tôi có ca ShopeeFood không?,chiều nay tôi có ca shopeefood không,calendar,train,chieu nay toi co ca shopeefood khong
1295,Vào gmail luôn!,vào gmail luôn,control_device,train,vao gmail luon
1241,Xem giúp lịch ngày kia.,xem giúp lịch ngày kia,calendar,train,xem giup lich ngay kia
90,Cách bảo quản rau trong tủ lạnh?,cách bảo quản rau trong tủ lạnh,qa,train,cach bao quan rau trong tu lanh
1478,HTTP và HTTPS khác nhau sao?,http và khác nhau sao,qa,test,http va khac nhau sao
863,Mở máy tính!,mở máy tính,control_device,test,mo may tinh
947,Cách bảo dưỡng xe định kỳ?,cách bảo dưỡng xe định kỳ,qa,train,cach bao duong xe đinh ky
399,Xem ca làm việc chiều nay.,xem ca làm việc chiều nay,calendar,train,xem ca lam viec chieu nay
621,Tuần sau có bận không?,tuần sau có bận không,calendar,train,tuan sau co ban khong
939,Lưu sở thích của tôi.,lưu sở thích của tôi,personalize,train,luu so thich cua toi
1059,Docker compose là gì?,docker compose là gì,qa,train,docker compose la gi
1417,Tôi thích nhạc không lời lúc làm việc.,tôi thích nhạc không lời lúc làm việc,personalize,train,toi thich nhac khong loi luc lam viec
1183,Mở Google Calendar!,mở google calendar,control_device,train,mo google calendar
1095,Tiền xử lý dữ liệu là gì?,tiền xử lý dữ liệu là gì,qa,train,tien xu ly du lieu la gi
1032,Websocket là gì?,websocket là gì,qa,train,websocket la gi
295,Cách tiết kiệm tiền hiệu quả?,cách tiết kiệm tiền hiệu quả,qa,validation,cach tiet kiem tien hieu qua
1355,Bật wifi lên đi!,bật wifi lên đi,control_device,train,bat wifi len đi
1194,Mở Docs!,mở docs,control_device,train,mo docs
683,Cách pha cà phê phin ngon?,cách pha cà phê phin ngon,qa,test,cach pha ca phe phin ngon
1519,Mình thích assistant nói chuyện casual thôi.,mình thích assistant nói chuyện casual thôi,personalize,test,minh thich assistant noi chuyen casual thoi
1227,Machine learning có cần toán không?,machine learning có cần toán không,qa,test,machine learning co can toan khong
